Drug Name,Description,Category,Price,Image Link
Loperamide,Treats traveler’s diarrhea by slowing intestinal movement.,Antidiarrheal,8.99,https://placehold.co/100x100?text=Loperamide
Ciprofloxacin,Antibiotic for bacterial infections like traveler’s diarrhea.,Antibiotic,12.0,https://placehold.co/100x100?text=Ciprofloxacin
Azithromycin,"Treats bacterial infections, including respiratory and gastrointestinal.",Antibiotic,15.0,https://placehold.co/100x100?text=Azithromycin
Doxycycline,Antibiotic for infections and malaria prophylaxis.,Antibiotic,10.5,https://placehold.co/100x100?text=Doxycycline
Metronidazole,"Treats parasitic and bacterial infections, e.g., Giardia.",Antibiotic,9.75,https://placehold.co/100x100?text=Metronidazole
Levofloxacin,Broad-spectrum antibiotic for severe infections.,Antibiotic,14.0,https://placehold.co/100x100?text=Levofloxacin
Amoxicillin,Treats bacterial infections like ear or sinus infections.,Antibiotic,7.5,https://placehold.co/100x100?text=Amoxicillin
Cephalexin,Antibiotic for skin and respiratory infections.,Antibiotic,8.25,https://placehold.co/100x100?text=Cephalexin
Sulfamethoxazole-Trimethoprim,Treats urinary tract infections and traveler’s diarrhea.,Antibiotic,6.0,https://placehold.co/100x100?text=Sulfamethoxazole
Ibuprofen,"Relieves pain, inflammation, and fever.",Analgesic,5.99,https://placehold.co/100x100?text=Ibuprofen
Acetaminophen,"Reduces pain and fever, safe for most travelers.",Analgesic,4.5,https://placehold.co/100x100?text=Acetaminophen
Aspirin,"Pain reliever and anti-inflammatory, also for heart attack prevention.",Analgesic,3.99,https://placehold.co/100x100?text=Aspirin
Naproxen,Long-acting pain reliever for muscle aches or headaches.,Analgesic,7.25,https://placehold.co/100x100?text=Naproxen
Diclofenac,Topical gel for localized pain relief.,Analgesic,9.0,https://placehold.co/100x100?text=Diclofenac
Loratadine,Non-drowsy antihistamine for allergies.,Antihistamine,6.75,https://placehold.co/100x100?text=Loratadine
Cetirizine,Relieves allergy symptoms like sneezing and itching.,Antihistamine,7.0,https://placehold.co/100x100?text=Cetirizine
Fexofenadine,Treats seasonal allergies without sedation.,Antihistamine,8.5,https://placehold.co/100x100?text=Fexofenadine
Diphenhydramine,Antihistamine for allergies and sleep aid.,Antihistamine,5.5,https://placehold.co/100x100?text=Diphenhydramine
